image_name,fold,partly_cloudy,haze,clear,primary,cultivation,bare_ground,road,artisinal_mine,blow_down,selective_logging,slash_burn,water,habitation,cloudy,blooming,conventional_mine,agriculture
train_31,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
train_32,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_33,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
train_34,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_35,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_36,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_37,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_38,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_39,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_40,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
train_41,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_42,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_43,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
train_44,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_45,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_46,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
train_47,6,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_48,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_49,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_51,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_52,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
train_53,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_54,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_55,7,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
train_56,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_57,7,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
train_58,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_59,8,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_60,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_61,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_62,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_63,7,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_64,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_65,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_66,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_67,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
train_68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_69,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_70,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_71,9,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_73,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_74,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_75,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
train_76,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_78,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_79,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
train_80,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_81,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_82,3,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0
train_83,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_84,9,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_85,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_86,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_88,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_89,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_90,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_91,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_92,9,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_93,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_94,9,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_95,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_96,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_97,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_98,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_99,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_100,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
train_101,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_102,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_103,2,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
train_104,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_105,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_106,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_107,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_108,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_109,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_110,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_112,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_113,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_114,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_115,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_116,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_117,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_118,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_119,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
train_120,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_121,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_122,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_123,8,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1
train_124,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_125,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_126,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_127,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_128,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_129,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_130,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_131,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
train_132,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_133,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_134,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_135,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_136,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_137,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_138,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_139,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_140,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_141,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_142,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_143,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_144,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
train_145,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_146,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
train_147,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_148,6,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
train_149,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_150,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_151,7,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
train_152,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_153,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_154,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_155,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_156,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_157,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_158,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
train_159,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_160,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_161,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_162,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_163,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_164,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_165,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_166,3,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
train_167,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_168,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_169,7,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_170,6,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_171,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_172,6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_173,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
train_174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_175,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_176,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_177,9,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
train_178,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_179,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_180,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_181,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_182,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_183,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_184,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_185,8,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1
train_186,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
train_187,6,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
train_188,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_189,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
train_190,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_191,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_192,7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_193,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_194,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_195,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_196,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_197,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_198,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_199,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
train_200,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_201,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_202,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
train_203,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_204,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_205,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
train_206,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_207,4,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
train_208,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_209,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_210,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_211,4,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
train_212,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_213,6,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
train_214,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_215,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_216,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_217,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_218,5,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
train_219,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_220,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_221,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_222,9,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1
train_223,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_224,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_225,9,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
train_226,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_227,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
train_228,5,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
train_229,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
train_230,5,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
train_231,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_232,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_233,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_234,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_235,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_236,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_237,3,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
train_238,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_239,7,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
train_240,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_241,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_242,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_243,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_244,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_245,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_246,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_247,7,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
train_248,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_249,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_250,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_251,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_252,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
train_253,7,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_254,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_255,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_256,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
train_257,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_258,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
train_259,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_260,9,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
train_261,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_262,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
train_263,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_264,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_265,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_266,5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
train_267,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_268,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_269,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_270,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_271,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_272,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_273,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
train_274,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
train_275,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_276,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_277,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_278,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_279,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
train_280,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_281,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_282,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_283,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_284,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_285,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_286,4,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
train_287,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_288,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_289,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_290,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
train_291,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_292,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_293,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_294,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_295,9,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_296,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_297,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
train_298,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
train_299,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_300,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_301,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
train_302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_303,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_304,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_305,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_306,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_307,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_308,7,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1
train_309,6,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
train_310,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_311,7,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
train_312,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_313,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_314,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_315,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_316,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_317,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_318,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_319,9,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
train_320,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_321,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_322,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
train_323,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_324,6,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
train_325,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_326,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_327,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_328,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_329,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
train_330,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
train_331,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_332,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_333,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_334,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
train_335,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_336,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_338,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
train_339,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_340,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
train_341,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_342,9,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
train_343,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_344,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
