image_name,fold,slash_burn,road,artisinal_mine,water,agriculture,clear,bare_ground,partly_cloudy,selective_logging,cloudy,conventional_mine,blooming,cultivation,haze,blow_down,habitation,primary
train_24,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
train_25,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_26,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_27,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
train_28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_29,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_30,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_31,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
train_32,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_33,9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
train_34,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_35,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_36,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_37,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_38,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_39,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_40,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
train_41,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_42,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_43,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train_44,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_46,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
train_47,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_48,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_49,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_51,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_52,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
train_53,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_54,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_55,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
train_56,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_57,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
train_58,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_59,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_60,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_61,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_62,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_63,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_64,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_65,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_66,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_67,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
train_68,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_69,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_70,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
train_71,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_72,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_73,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_74,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
train_75,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_76,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_77,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_78,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_79,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
train_80,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
train_81,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_82,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
train_83,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_84,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_85,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_86,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_87,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_88,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_89,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_90,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
train_91,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_92,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_93,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_94,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_95,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_96,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_97,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_98,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_99,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_100,9,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
train_101,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_102,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_103,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
train_104,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_105,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_106,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_107,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_108,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_109,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_110,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_112,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_113,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_114,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_115,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_116,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_117,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_118,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_119,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_120,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_121,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
train_122,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_123,4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
train_124,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
train_125,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_126,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_127,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_128,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_129,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_130,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_131,7,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_132,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_134,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_135,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_137,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_138,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_139,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_140,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_141,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
train_142,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_143,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
train_144,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
train_145,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_146,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
train_147,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_148,7,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
train_149,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_150,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
train_151,7,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
train_152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_153,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_154,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_155,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_156,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_157,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
train_158,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_159,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_160,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_161,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_162,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
train_163,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_164,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_165,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_166,5,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
train_167,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
train_168,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_169,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_170,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_171,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_172,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_173,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
train_174,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_175,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_176,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_177,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_178,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_179,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_181,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_182,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_183,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_184,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_185,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1
train_186,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_187,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_188,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_189,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_190,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_191,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_192,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_193,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_194,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_195,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_196,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_197,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_198,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_199,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
train_200,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_201,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_202,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
train_203,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_204,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_205,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
train_206,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_207,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
train_208,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_209,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_210,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_211,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
train_212,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_213,5,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_214,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_215,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
train_216,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_217,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
train_218,9,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
train_219,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_220,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_221,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_222,7,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1
train_223,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_224,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_225,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
train_226,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_227,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
train_228,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
train_229,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
train_230,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
train_231,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_232,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_233,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_234,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_235,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_236,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_237,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_238,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_239,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
train_240,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_241,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
train_242,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_243,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_244,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_245,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
train_246,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_247,2,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
train_248,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_249,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_250,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_251,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_252,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
train_253,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_254,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_255,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_256,6,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
train_257,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_258,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
train_259,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_260,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_261,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_262,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
train_263,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_264,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_265,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_266,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
train_267,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_268,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_269,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_270,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_271,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_272,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_273,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_274,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_275,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_276,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_278,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_279,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
train_280,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_281,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
train_282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_283,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
train_284,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_285,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_286,7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_287,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_288,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_290,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
train_291,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_292,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
train_293,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_294,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_295,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_296,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_297,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
train_298,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
train_299,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_300,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_301,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_302,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_303,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_304,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_305,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_306,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_307,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_308,3,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
train_309,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_310,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_311,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
train_312,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_313,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_314,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_315,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
train_316,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_317,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_318,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_319,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
train_320,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_321,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_322,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_323,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_324,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_325,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_326,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_327,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_328,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
train_329,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
train_330,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
train_331,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
train_332,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_333,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_334,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
train_335,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_336,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_337,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_338,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
train_339,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
train_340,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_341,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
train_342,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
train_343,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
train_344,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
