image_name,fold,road,artisinal_mine,cloudy,selective_logging,blooming,agriculture,haze,slash_burn,habitation,clear,water,conventional_mine,cultivation,blow_down,primary,bare_ground,partly_cloudy
train_154,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_156,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_157,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_158,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_159,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_160,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_161,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_162,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_163,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_164,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_165,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_166,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
train_167,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
train_168,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_169,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_170,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_171,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_172,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_173,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
train_174,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_175,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_176,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_177,5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_178,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_179,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_180,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_183,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_184,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_185,7,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0
train_186,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_187,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_188,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_189,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_190,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_191,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_192,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
train_193,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_195,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_196,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_197,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_198,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_199,6,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
train_200,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_201,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_202,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
train_203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_204,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_205,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
train_206,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_207,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
train_208,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_209,9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_210,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_211,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
train_212,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_213,3,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_215,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
train_216,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_217,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
train_218,9,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
train_219,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_220,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_221,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_222,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0
train_223,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_224,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_225,2,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0
train_226,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_227,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
train_228,9,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
train_229,8,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
train_230,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
train_231,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_232,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_233,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_234,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_235,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_237,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_238,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_239,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
train_240,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_241,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
train_242,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_243,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_244,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_245,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
train_246,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_247,6,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0
train_248,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_249,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_250,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_251,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_252,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
train_253,5,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_254,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_255,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_256,9,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
train_257,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_258,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
train_259,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_260,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_261,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_262,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
train_263,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_264,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_265,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_266,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
train_267,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_268,5,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_269,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_270,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_271,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_272,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_273,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
train_274,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_275,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_276,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_277,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_278,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_279,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
train_280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_281,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
train_282,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_283,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
train_284,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_285,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_286,6,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_287,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_288,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_289,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_290,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
train_291,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_292,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_293,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_294,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_295,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_296,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_297,6,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
train_298,6,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
train_299,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_300,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_301,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_302,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_303,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_304,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_305,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_306,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_307,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_308,8,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
train_309,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_310,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_311,6,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
train_312,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_313,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_314,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_315,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
train_316,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_317,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_318,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_319,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
train_320,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_321,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_322,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_323,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_324,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_325,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_326,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_327,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_328,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_329,8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
train_330,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
train_331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_332,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_333,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_334,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
train_335,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_336,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_337,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_338,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
train_339,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_340,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
train_341,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
train_342,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
train_343,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_344,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
