image_name,fold,haze,bare_ground,partly_cloudy,blow_down,primary,slash_burn,blooming,habitation,road,water,selective_logging,clear,cloudy,cultivation,conventional_mine,agriculture,artisinal_mine
train_64,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_65,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_66,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_67,9,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
train_68,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_69,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_70,5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
train_71,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_72,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_73,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_74,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
train_75,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
train_76,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_78,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_79,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
train_80,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
train_81,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_82,8,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
train_83,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_84,3,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_85,7,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_86,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_87,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_88,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_89,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_90,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
train_91,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_92,5,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_93,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_94,7,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_95,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_96,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_97,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_98,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_99,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_100,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
train_101,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_102,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_103,7,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0
train_104,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_105,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_106,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_107,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_108,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_109,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_110,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_111,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_112,8,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_113,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_114,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_115,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_116,7,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_117,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_118,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_119,9,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
train_120,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_121,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
train_122,9,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_123,2,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_124,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_125,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_126,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_127,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_128,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_129,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_130,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_131,6,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
train_132,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_133,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_134,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_135,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_136,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_137,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_138,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_139,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_140,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_141,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
train_142,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_143,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
train_144,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
train_145,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_146,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
train_147,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_148,4,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
train_149,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_150,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
train_151,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
train_152,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_153,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_154,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_155,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_156,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_157,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
train_158,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
train_159,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_160,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_161,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_162,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
train_163,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_164,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_165,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_166,3,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
train_167,8,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
train_168,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_169,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_170,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_171,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_172,7,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_173,8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
train_174,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_175,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_176,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_177,9,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
train_178,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_179,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_180,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_181,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_182,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_183,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_184,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_185,6,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1
train_186,3,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
train_187,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
train_188,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_189,3,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
train_190,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_191,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_192,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
train_193,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_194,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_195,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_196,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_197,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_198,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_199,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
train_200,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_201,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_202,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
train_203,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_204,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_205,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
train_206,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_207,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
train_208,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_209,8,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_210,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_211,8,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
train_212,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_213,5,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
train_214,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_215,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
train_216,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_217,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_218,9,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0
train_219,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_220,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_221,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_222,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0
train_223,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_224,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_225,2,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0
train_226,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_227,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
train_228,9,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
train_229,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
train_230,5,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
train_231,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_232,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_233,7,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_234,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_235,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_236,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_237,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
train_238,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_239,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_240,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_241,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
train_242,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_243,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_244,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_245,8,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
train_246,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_247,4,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0
train_248,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_249,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_250,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_251,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_252,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
train_253,6,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_254,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_255,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_256,7,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
train_257,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_258,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
train_259,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_260,8,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
train_261,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_262,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
train_263,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_264,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_265,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_266,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
train_267,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_268,7,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_269,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_270,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_271,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_272,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_273,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
train_274,6,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
train_275,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_276,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_277,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_278,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_279,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
train_280,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_281,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
train_282,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_283,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
train_284,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_285,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_286,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
train_287,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_288,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_289,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_290,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
train_291,9,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_292,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
train_293,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_294,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
train_295,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_296,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_297,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
train_298,5,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
train_299,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_300,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_301,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
train_302,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_303,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_304,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_305,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_306,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_307,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_308,9,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
train_309,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
train_310,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_311,7,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
train_312,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_313,7,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_314,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_315,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
train_316,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_317,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_318,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_319,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_320,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_321,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_322,3,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
train_323,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_324,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
train_325,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_326,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_327,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_328,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
train_329,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
train_330,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
train_331,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_332,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_333,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
train_334,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
train_335,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_336,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_337,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_338,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
train_339,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_340,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
train_341,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_342,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
train_343,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
train_344,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
